00DS30,01-08-2019,1827.91,1842.39,1827.91,1838.5,48116110
00DS30,04-08-2019,1838.5,1845.86,1834.83,1836.79,46385670
00DS30,05-08-2019,1836.79,1836.79,1821.93,1826.69,47736490
00DS30,06-08-2019,1826.69,1843.05,1826.69,1836.45,56876790
00DS30,07-08-2019,1836.45,1841.83,1834.71,1836.99,44904510
00DS30,08-08-2019,1837,1839.94,1831.34,1837.75,41056300
00DS30,18-08-2019,1837.75,1845.26,1832.85,1841.8,32370080
00DS30,19-08-2019,1841.8,1852.39,1841.8,1847.26,48536270
00DS30,20-08-2019,1847.26,1856.02,1843.79,1845.55,47294400
00DS30,21-08-2019,1845.55,1848.15,1838.57,1841.67,54255060
00DS30,22-08-2019,1841.67,1853.37,1841.67,1850.01,47890850
00DS30,25-08-2019,1850.01,1858.31,1840.28,1841.77,46899000
00DS30,26-08-2019,1841.77,1841.77,1816.38,1819.67,44716140
00DS30,27-08-2019,1819.67,1831.33,1819.19,1829.14,46775570
00DS30,28-08-2019,1829.14,1837.79,1816.87,1817.71,45671340
00DS30,29-08-2019,1817.71,1819.76,1798.28,1800.06,40291800
00DSES,01-08-2019,1181.2,1193.14,1181.2,1192.19,48116110
00DSES,04-08-2019,1192.19,1197.53,1192.19,1193.94,46385670
00DSES,05-08-2019,1193.94,1193.94,1184.25,1189.69,47736490
00DSES,06-08-2019,1189.69,1200.39,1189.69,1194.35,56876790
00DSES,07-08-2019,1194.35,1195.53,1188.44,1189.98,44904510
00DSES,08-08-2019,1189.98,1193.93,1186.43,1192.22,41056300
00DSES,18-08-2019,1192.22,1199.11,1192.22,1197.56,32370080
00DSES,19-08-2019,1197.56,1205.65,1197.56,1202.51,48536270
00DSES,20-08-2019,1202.51,1210.41,1202.51,1204.75,47294400
00DSES,21-08-2019,1204.75,1208.47,1203.12,1204.49,54255060
00DSES,22-08-2019,1204.49,1210.52,1204.49,1206.85,47890850
00DSES,25-08-2019,1206.85,1209.91,1202.51,1203.73,46899000
00DSES,26-08-2019,1203.73,1203.75,1190.25,1193.06,44716140
00DSES,27-08-2019,1193.06,1201.28,1193.06,1198.35,46775570
00DSES,28-08-2019,1198.35,1203.8,1191.96,1192.55,45671340
00DSES,29-08-2019,1192.55,1194.26,1182.58,1183.44,40291800
00DSEX,01-08-2019,5138.79,5176.87,5138.79,5169.74,48116110
00DSEX,04-08-2019,5169.74,5189.12,5169.74,5172.86,46385670
00DSEX,05-08-2019,5172.86,5175.31,5143.6,5160.37,47736490
00DSEX,06-08-2019,5160.37,5203.17,5160.37,5187.29,56876790
00DSEX,07-08-2019,5187.29,5209.67,5183.35,5187.21,44904510
00DSEX,08-08-2019,5187.2,5210.38,5178.46,5201.42,41056300
00DSEX,18-08-2019,5201.42,5226.14,5199.96,5216.54,32370080
00DSEX,19-08-2019,5216.54,5241.93,5216.54,5227.27,48536270
00DSEX,20-08-2019,5227.27,5259.15,5222.05,5227.5,47294400
00DSEX,21-08-2019,5227.5,5245.36,5217.75,5223.41,54255060
00DSEX,22-08-2019,5223.41,5254.65,5223.41,5236.85,47890850
00DSEX,25-08-2019,5236.85,5261.48,5220.56,5223.73,46899000
00DSEX,26-08-2019,5223.73,5223.73,5159.12,5165.77,44716140
00DSEX,27-08-2019,5165.77,5186.22,5163.31,5178.7,46775570
00DSEX,28-08-2019,5178.7,5201.04,5137.58,5140,45671340
00DSEX,29-08-2019,5140,5144.96,5093.19,5095.78,40291800
01.Bank,01-08-2019,21.42,21.59,21.16,21.36,527913.97
01.Bank,04-08-2019,21.46,21.56,21.12,21.3,442823.83
01.Bank,05-08-2019,21.31,21.48,21.07,21.26,425842.93
01.Bank,06-08-2019,21.34,21.58,21.11,21.36,484428.17
01.Bank,07-08-2019,21.42,21.9,21.28,21.67,861045.27
01.Bank,08-08-2019,21.65,21.91,21.41,21.72,533572.13
01.Bank,18-08-2019,21.78,21.94,21.36,21.58,289021.17
01.Bank,19-08-2019,21.6,21.83,21.35,21.54,412815.37
01.Bank,20-08-2019,21.59,21.74,21.33,21.45,389530.47
01.Bank,21-08-2019,21.52,21.65,21.18,21.36,448388.73
01.Bank,22-08-2019,21.45,21.56,21.1,21.28,395231.63
01.Bank,25-08-2019,21.38,21.55,21.05,21.19,371363.93
01.Bank,26-08-2019,21.32,21.36,20.9,21.04,393962.67
01.Bank,27-08-2019,21.07,21.24,20.78,20.96,471489.93
01.Bank,28-08-2019,21,21.11,20.62,20.72,319149.5
01.Bank,29-08-2019,20.78,20.93,20.38,20.5,507005.53
02.Cement,01-08-2019,85.54,87.74,84.76,86.7,66153.29
02.Cement,04-08-2019,87.06,87.61,85.4,85.81,64053.14
02.Cement,05-08-2019,89.05,90.3,88.35,89.48,95285.33
02.Cement,06-08-2019,86.69,89.2,85.7,87.89,92811.71
02.Cement,07-08-2019,87.14,88.31,86.87,87.36,68846.14
02.Cement,08-08-2019,90.75,91.6,89.92,90.87,69281.33
02.Cement,18-08-2019,105.86,111.78,105.24,110.22,72289.8
02.Cement,19-08-2019,91.56,95.09,90.5,93.89,90207.86
02.Cement,20-08-2019,94.9,97.01,93.27,94.06,54504.57
02.Cement,21-08-2019,94.54,95.04,91.2,92.46,53471.14
02.Cement,22-08-2019,91.64,93.53,90.9,92.26,55020.43
02.Cement,25-08-2019,91.46,94.09,90.21,91.64,118085.14
02.Cement,26-08-2019,92.04,93.23,89.74,91.06,54420.43
02.Cement,27-08-2019,91.76,92.99,89.04,90.47,62734.43
02.Cement,28-08-2019,91.56,92.64,89.44,90.04,24808.43
02.Cement,29-08-2019,89.81,90.56,88.76,89.2,50260.86
03.Ceramics_Sector,01-08-2019,110.34,115.8,109.26,115.56,293648.6
03.Ceramics_Sector,04-08-2019,119.9,122.28,109.62,112.22,343932.6
03.Ceramics_Sector,05-08-2019,111.54,119.98,105.68,117.4,318982.8
03.Ceramics_Sector,06-08-2019,120.7,123.38,115.88,117.18,297651.2
03.Ceramics_Sector,07-08-2019,115.94,117.26,107.84,112.2,271734.6
03.Ceramics_Sector,08-08-2019,112.7,115.94,110.66,114.82,164033.6
03.Ceramics_Sector,18-08-2019,115.9,118.72,114.62,117.64,158795
03.Ceramics_Sector,19-08-2019,118.24,122.18,117.18,120.2,177481.8
03.Ceramics_Sector,20-08-2019,120.82,123.56,118.96,120.64,250164.6
03.Ceramics_Sector,21-08-2019,122.12,128.52,120.94,127.58,555354.8
03.Ceramics_Sector,22-08-2019,129.62,131.5,127.46,129.36,381061
03.Ceramics_Sector,25-08-2019,130.08,135.94,127.16,131.62,310780.8
03.Ceramics_Sector,26-08-2019,132.52,137.74,130.78,136.52,204960.4
03.Ceramics_Sector,27-08-2019,137.88,141,131.34,135.58,192548.4
03.Ceramics_Sector,28-08-2019,134.54,138,130.58,131.88,247101.6
03.Ceramics_Sector,29-08-2019,132.48,139.26,128.68,136.58,200255.6
04.Engineering,01-08-2019,139.56,143.99,138.92,142.3,220806.42
04.Engineering,04-08-2019,145.37,146.56,139.08,142.24,210864.55
04.Engineering,05-08-2019,138.28,142.01,133.92,140.95,402362.36
04.Engineering,06-08-2019,142.46,145.11,139.67,141.89,321313.87
04.Engineering,07-08-2019,142.63,144.66,138.23,139.94,263371.13
04.Engineering,08-08-2019,140.23,143.36,137.31,140.92,141916.21
04.Engineering,18-08-2019,142.86,144.24,140.71,142.84,145162.51
04.Engineering,19-08-2019,143.88,147.23,142.06,145.25,262915.69
04.Engineering,20-08-2019,147.62,149.13,143.8,146.17,326375.77
04.Engineering,21-08-2019,147,148.08,142.99,144.49,399649.41
04.Engineering,22-08-2019,144.37,149.14,143.3,147.04,402270.21
04.Engineering,25-08-2019,148.38,151.59,144.44,147.24,341177.72
04.Engineering,26-08-2019,147.02,147.98,141.83,144.86,296542.59
04.Engineering,27-08-2019,145.45,150.69,144.35,149.23,323708.79
04.Engineering,28-08-2019,150.82,153.96,148.02,150.36,332232.18
04.Engineering,29-08-2019,150.74,152.52,146.55,149.09,356821.41
05.Financial_Institutions,01-08-2019,26.58,26.94,26.25,26.45,249612.68
05.Financial_Institutions,04-08-2019,26.53,26.78,26.15,26.35,187504.5
05.Financial_Institutions,05-08-2019,26.53,26.71,26.08,26.29,191443.36
05.Financial_Institutions,06-08-2019,26.45,26.96,26.06,26.53,306621.55
05.Financial_Institutions,07-08-2019,26.79,27.31,26.44,26.82,499256.05
05.Financial_Institutions,08-08-2019,26.89,27.21,26.44,26.88,242436
05.Financial_Institutions,18-08-2019,26.97,27.29,26.47,26.81,203279.09
05.Financial_Institutions,19-08-2019,27.92,28.23,27.64,27.85,212585.71
05.Financial_Institutions,20-08-2019,26.85,27.01,26.47,26.59,179368.36
05.Financial_Institutions,21-08-2019,26.72,26.89,26.41,26.59,229850.14
05.Financial_Institutions,22-08-2019,26.68,27.11,26.49,26.79,455229.55
05.Financial_Institutions,25-08-2019,26.83,27.24,26.55,26.77,390623
05.Financial_Institutions,26-08-2019,26.83,26.92,26.17,26.36,302059.68
