,Symbol,Avg Return,Sharpe Ratio,Horizon Return
13,11.Miscellaneous,13.35,0.99,19.47
18,16.Tannery_Industries,4.12,-0.67,-2.52
19,17.Telecommunication,2.51,-1.65,-3.44
8,06.Food_&_Allied,1.81,-2.37,-13.94
15,13.Paper_&_Printing,1.59,-2.74,17.87
17,15.Services_&_Real_Estate,0.97,-2.84,-10.97
5,03.Ceramics_Sector,1.55,-3.66,79.71
6,04.Engineering,0.93,-4.74,19.05
12,10.Jute,1.16,-4.84,57.94
21,19.Travel_&_Leisure,0.49,-5.87,-3.64
20,18.Textile,0.31,-6.93,-18.47
16,14.Pharmaceuticals_&_Chemicals,0.49,-7.44,11.7
308,SAVAREFR,0.56,-8.18,28.04
316,SHYAMPSUG,0.62,-8.77,43.42
115,DULAMIACOT,0.74,-8.81,63.5
359,ZEALBANGLA,0.68,-8.97,54.71
225,MONNOSTAF,0.81,-9.56,64.32
9,07.Fuel_&_Power,0.25,-9.59,0.89
68,BDAUTOCA,0.78,-9.72,79.23
332,STYLECRAFT,0.25,-9.83,-9.4
191,JUTESPINN,0.39,-9.84,17.34
4,02.Cement,0.02,-10.11,-19.43
214,MEGHNAPET,0.34,-10.2,13.85
178,IMAMBUTTON,0.39,-10.24,20.26
304,SAMATALETH,0.44,-10.46,26.88
144,GEMINISEA,0.15,-10.49,-6.35
201,LEGACYFOOT,0.6,-10.68,52.17
211,MEGCONMILK,0.37,-10.75,19.28
193,KAY&QUE,0.85,-10.81,98.78
224,MONNOCERA,0.67,-10.82,64.97
323,SONARGAON,0.5,-11.53,40.68
185,ISNLTD,0.42,-11.57,29.42
238,NORTHERN,0.59,-11.98,55.6
74,BEACHHATCH,0.09,-12.27,-6.56
203,LIBRAINFU,0.4,-12.33,29.69
137,FINEFOODS,0.51,-12.38,44.9
310,SEMLIBBLSF,0.01,-12.48,-13.25
281,QUEENSOUTH,0.07,-12.49,-7.73
347,UNITEDINS,0.36,-12.57,24.91
329,STANCERAM,0.7,-12.57,77.35
